final_institution,post_subinstitution,original_institution
"SAINT JOSEPHS HOSPITAL (PHILADELPHIA, PA)",,RELEVANT INSTITUTION NOT IN AGREEMENTS
SAINT JOSEPHS HOSPITAL AND MEDICAL CENTER (PHOENIX),ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER
SAINT JUDE CHILDRENS RESEARCH HOSPITAL,SAINT JUDE CHILDREN'S RESEARCH HOSPITAL,SAINT JUDE CHILDREN'S RESEARCH HOSPITAL
SAINT LOUIS UNIVERSITY,ST. LOUIS UNIVERSITY,ST. LOUIS UNIVERSITY
SAINT LUKE'S HOSPITAL OF KANSAS CITY,,RELEVANT INSTITUTION NOT IN AGREEMENTS
"SAINT LUKES MEDICAL CENTER (CLEVELAND, OH)",,RELEVANT INSTITUTION NOT IN AGREEMENTS
SAINT LUKES-ROOSEVELT HOSPITAL CENTER,ST. LUKE'S ROOSEVELT HOSPITAL CENTER,ST. LUKE'S ROOSEVELT HOSPITAL CENTER
"SAINT VINCENT HOSPITAL (WORCESTER, MA)",,RELEVANT INSTITUTION NOT IN AGREEMENTS
SAN DIEGO STATE UNIVERSITY,SAN DIEGO STATE UNIVERSITY FOUNDATION,SAN DIEGO STATE UNIVERSITY FOUNDATION
SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO STATE UNIVERSITY
SAN JOSE STATE UNIVERSITY,SAN JOSE STATE UNIVERSITY AND THE FOUNDATION,SAN JOSE STATE UNIVERSITY AND THE FOUNDATION
SANTA CLARA VALLEY MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
SCHEPENS EYE RESEARCH INSTITUTE,"SCHEPENS EYE RESEARCH INSTITUTE, INC.","SCHEPENS EYE RESEARCH INSTITUTE, INC."
SCIENTIFIC ANALYSIS CORPORATION,SCIENTIFIC ANALYSIS CORPORATION,SCIENTIFIC ANALYSIS CORPORATION
SCOTT AND WHITE MEMORIAL HOSPITAL,SCOTT AND WHITE MEMORIAL HOSPITAL,SCOTT AND WHITE MEMORIAL HOSPITAL
SCRIPPS RESEARCH INSTITUTE - CALIFORNIA,SCRIPPS RESEARCH INSTITUTE - CALIFORNIA,SCRIPPS RESEARCH INSTITUTE
SCRIPPS RESEARCH INSTITUTE - FLORIDA,SCRIPPS RESEARCH INSTITUTE - FLORIDA,SCRIPPS RESEARCH INSTITUTE
SEATTLE BIOMEDICAL RESEARCH INSTITUTE,SEATTLE BIOMEDICAL RESEARCH INSTITUTE,SEATTLE BIOMEDICAL RESEARCH INSTITUTE
SEATTLE INSTITUTE FOR BIOMEDICAL AND CLINICAL RESEARCH,SEATTLE INSTITUTE FOR BIOMEDICAL AND CLINICAL RESEARCH,SEATTLE INSTITUTE FOR BIOMEDICAL AND CLINICAL RESEARCH
SETON HALL UNIVERSITY,SETON HALL UNIVERSITY,SETON HALL UNIVERSITY
SIDNEY KIMMEL CANCER CENTER,SIDNEY KIMMEL CANCER CENTER,SIDNEY KIMMEL CANCER CENTER
SINAI HOSPITAL OF BALTIMORE,SINAI HOSPITAL OF BALTIMORE,SINAI HOSPITAL OF BALTIMORE
SINAI HOSPITAL OF DETROIT,,RELEVANT INSTITUTION NOT IN AGREEMENTS
"SINAI SAMARITAN MEDICAL CENTER (MILWAUKEE, WI)",,RELEVANT INSTITUTION NOT IN AGREEMENTS
SMITH COLLEGE,SMITH COLLEGE,SMITH COLLEGE
SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,SMITH-KETTLEWELL EYE RESEARCH FOUNDATION,SMITH-KETTLEWELL EYE RESEARCH FOUNDATION
SOUTH DAKOTA STATE UNIVERSITY,SOUTH DAKOTA STATE UNIVERSITY,SOUTH DAKOTA STATE UNIVERSITY
SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE
SOUTHERN ILLINOIS UNIVERSITY AT EDWARDSVILLE,SOUTHERN ILLINOIS UNIVERSITY AT EDWARDSVILLE,SOUTHERN ILLINOIS UNIVERSITY AT EDWARDSVILLE
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
SOUTHERN METHODIST UNIVERSITY,SOUTHERN METHODIST UNIVERSITY,SOUTHERN METHODIST UNIVERSITY
SOUTHERN RESEARCH INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
SOUTHWEST FOUNDATION FOR BIOMEDICAL RESEARCH,SOUTHWEST FOUNDATION FOR BIOMEDICAL RESEARCH,SOUTHWEST FOUNDATION FOR BIOMEDICAL RESEARCH
SRI INTERNATIONAL,,RELEVANT INSTITUTION NOT IN AGREEMENTS
ST VINCENT MEDICAL CENTER,ST. VINCENT MERCY MEDICAL CENTER,ST. VINCENT MERCY MEDICAL CENTER
ST. VINCENTS HOSPITAL AND MEDICAL CENTER,ST. VINCENT'S HOSPITAL AND MEDICAL CENTER,ST. VINCENT'S HOSPITAL AND MEDICAL CENTER
STANFORD UNIVERSITY,STANFORD UNIVERSITY,STANFORD UNIVERSITY
STEVENS INSTITUTE OF TECHNOLOGY,STEVENS INSTITUTE OF TECHNOLOGY,STEVENS INSTITUTE OF TECHNOLOGY
STOWERS INSTITUTE FOR MEDICAL RESEARCH,STOWERS INSTITUTE,STOWERS INSTITUTE
SUN HEALTH RESEARCH INSTITUTE,SUN HEALTH RESEARCH INSTITUTE,SUN HEALTH RESEARCH INSTITUTE
SUNY - BUFFALO STATE COLLEGE,SUNY - BUFFALO STATE COLLEGE,SUNY - BUFFALO STATE COLLEGE
SUNY - COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY,SUNY - COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY,SUNY - COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY
SUNY - COLLEGE OF OPTOMETRY,SUNY - COLLEGE OF OPTOMETRY,SUNY - COLLEGE OF OPTOMETRY
SUNY - DOWNSTATE MEDICAL CENTER,SUNY - DOWNSTATE MEDICAL CENTER,SUNY - DOWNSTATE MEDICAL CENTER
SUNY - STATE UNIVERSITY OF NEW YORK AT ALBANY,SUNY - STATE UNIVERSITY OF NEW YORK AT ALBANY,SUNY - STATE UNIVERSITY OF NEW YORK AT ALBANY
SUNY - STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,SUNY - STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,SUNY - STATE UNIVERSITY OF NEW YORK AT BINGHAMTON
SUNY - STATE UNIVERSITY OF NEW YORK AT BROCKPORT,SUNY - STATE UNIVERSITY OF NEW YORK AT BROCKPORT,SUNY - STATE UNIVERSITY OF NEW YORK AT BROCKPORT
SUNY - STATE UNIVERSITY OF NEW YORK AT BUFFALO,SUNY - STATE UNIVERSITY OF NEW YORK AT BUFFALO,SUNY - STATE UNIVERSITY OF NEW YORK AT BUFFALO
SUNY - STATE UNIVERSITY OF NEW YORK AT OSWEGO,SUNY - STATE UNIVERSITY OF NEW YORK AT OSWEGO,SUNY - STATE UNIVERSITY OF NEW YORK AT OSWEGO
SUNY - STATE UNIVERSITY OF NEW YORK AT PLATTSBURG,SUNY - STATE UNIVERSITY OF NEW YORK AT PLATTSBURG,SUNY - STATE UNIVERSITY OF NEW YORK AT PLATTSBURG
SUNY - STATE UNIVERSITY OF NEW YORK AT PURCHASE,SUNY - STATE UNIVERSITY OF NEW YORK AT PURCHASE,SUNY - STATE UNIVERSITY OF NEW YORK AT PURCHASE
SUNY - STATE UNIVERSITY OF NEW YORK AT STONYBROOK,SUNY - STATE UNIVERSITY OF NEW YORK AT STONYBROOK,SUNY - STATE UNIVERSITY OF NEW YORK AT STONYBROOK
SUNY - UPSTATE MEDICAL UNIVERSITY,SUNY - UPSTATE MEDICAL UNIVERSITY,SUNY - UPSTATE MEDICAL UNIVERSITY
SWARTHMORE COLLEGE,SWARTHMORE COLLEGE,SWARTHMORE COLLEGE
"SWEDISH MEDICAL CENTER, FIRST HILL",SWEDISH MEDICAL CENTER,SWEDISH MEDICAL CENTER
SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
TAMPA BAY RESEARCH INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
TEMPLE UNIVERSITY,TEMPLE UNIVERSITY,TEMPLE UNIVERSITY
TEXAS AGRICULTURAL AND MECHANICAL BAYLOR COLLEGE OF DENTISTRY,BAYLOR COLLEGE OF DENTISTRY,BAYLOR COLLEGE OF DENTISTRY
TEXAS AGRICULTURAL AND MECHANICAL UNIVERSITY AGRICULTURAL EXPERIMENT STATION,,RELEVANT INSTITUTION NOT IN AGREEMENTS
TEXAS AGRICULTURAL AND MECHANICAL UNIVERSITY AT COLLEGE STATION,TEXAS AGRICULTURAL AND MECHANICAL UNIVERSITY AT COLLEGE STATION,TEXAS AGRICULTURAL AND MECHANICAL UNIVERSITY AT COLLEGE STATION
TEXAS AGRICULTURAL AND MECHANICAL UNIVERSITY ENGINEERING EXPERIMENT STATION,,RELEVANT INSTITUTION NOT IN AGREEMENTS
TEXAS AGRICULTURAL AND MECHANICAL UNIVERSITY HEALTH SCIENCE CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
TEXAS CENTER FOR INFECTIOUS DISEASE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
TEXAS CHRISTIAN UNIVERSITY,TEXAS CHRISTIAN UNIVERSITY,TEXAS CHRISTIAN UNIVERSITY
TEXAS RESEARCH INSTITUTE OF MENTAL SCIENCES,,RELEVANT INSTITUTION NOT IN AGREEMENTS
TEXAS TECH UNIVERSITY,TEXAS TECH UNIVERSITY,TEXAS TECH UNIVERSITY
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER
TEXAS WOMANS UNIVERSITY,TEXAS WOMAN'S UNIVERSITY,TEXAS WOMAN'S UNIVERSITY
THE ALAN GUTTMACHER INSTITUTE,THE ALAN GUTTMACHER INSTITUTE,THE ALAN GUTTMACHER INSTITUTE
THE APT FOUNDATION,THE APT FOUNDATION,THE APT FOUNDATION
THE BROOKDALE UNIVERSITY HOSPITAL AND MEDICAL CENTER,THE BROOKDALE UNIVERSITY HOSPITAL AND MEDICAL CENTER,THE BROOKDALE UNIVERSITY HOSPITAL AND MEDICAL CENTER
THE BURNHAM INSTITUTE,THE BURNHAM INSTITUTE,THE BURNHAM INSTITUTE
THE COOPER INSTITUTE,THE COOPER INSTITUTE,THE COOPER INSTITUTE
"THE H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE, INC.","THE H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE, INC.","THE H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE, INC."
THE INSTITUTE FOR SYSTEMS BIOLOGY,THE INSTITUTE FOR SYSTEMS BIOLOGY,THE INSTITUTE FOR SYSTEMS BIOLOGY
THE J. DAVID GLADSTONE INSTITUTES,THE J. DAVID GLADSTONE INSTITUTES,THE J. DAVID GLADSTONE INSTITUTES
THE JACKSON LABORATORY,THE JACKSON LABORATORY,THE JACKSON LABORATORY
THE MOUNT DESERT ISLAND BIOLOGICAL LABORATORY,THE MOUNT DESERT ISLAND BIOLOGICAL LABORATORY,THE MOUNT DESERT ISLAND BIOLOGICAL LABORATORY
THE NEW SCHOOL,NEW SCHOOL UNIVERSITY,NEW SCHOOL UNIVERSITY
THE NEW YORK ACADEMY OF MEDICINE,THE NEW YORK ACADEMY OF MEDICINE,THE NEW YORK ACADEMY OF MEDICINE
THE PARKINSONS INSTITUTE,THE PARKINSON'S INSTITUTE,THE PARKINSON'S INSTITUTE
THE QUEENS MEDICAL CENTER,THE QUEEN'S MEDICAL CENTER,THE QUEEN'S MEDICAL CENTER
THE SALK INSTITUTE FOR BIOLOGICAL STUDIES,THE SALK INSTITUTE FOR BIOLOGICAL STUDIES,THE SALK INSTITUTE FOR BIOLOGICAL STUDIES
"THE WINIFRED MASTERSON BURKE MEDICAL RESEARCH INSTITUTE, INC.","THE WINIFRED MASTERSON BURKE MEDICAL RESEARCH INSTITUTE, INC.","THE WINIFRED MASTERSON BURKE MEDICAL RESEARCH INSTITUTE, INC."
THOMAS JEFFERSON UNIVERSITY,THOMAS JEFFERSON UNIVERSITY,THOMAS JEFFERSON UNIVERSITY
TORREY PINES INSTITUTE FOR MOLECULAR STUDIES,TORREY PINES INSTITUTE FOR MOLECULAR STUDIES,TORREY PINES INSTITUTE FOR MOLECULAR STUDIES
TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE
"TREATMENT RESEARCH INSTITUTE, INC. (TRI)",TREATMENT RESEARCH INSTITUTE,TREATMENT RESEARCH INSTITUTE
TRINITY COLLEGE (CONNECTICUT),TRINITY COLLEGE - CONNECTICUT,TRINITY COLLEGE - CONNECTICUT
TRINITY UNIVERSITY OF SAN ANTONIO,TRINITY UNIVERSITY OF SAN ANTONIO,TRINITY UNIVERSITY OF SAN ANTONIO
TRUDEAU INSTITUTE INC,"TRUDEAU INSTITUTE, INC.","TRUDEAU INSTITUTE, INC."
TUFTS UNIVERSITY - MEDFORD,TUFTS UNIVERSITY - MEDFORD,TUFTS UNIVERSITY
TUFTS-NEW ENGLAND MEDICAL CENTER,NEW ENGLAND MEDICAL CENTER,NEW ENGLAND MEDICAL CENTER
TUFTS-NEW ENGLAND MEDICAL CENTER,TUFTS-NEW ENGLAND MEDICAL CENTER,TUFTS UNIVERSITY
TULANE UNIVERSITY OF LOUISIANA,TULANE UNIVERSITY,TULANE UNIVERSITY
TUSKEGEE UNIVERSITY,TUSKEGEE UNIVERSITY,TUSKEGEE UNIVERSITY
U.S. UNIFORMED SERVICES UNIVERSITY OF HEALTH SCIENCES,,RELEVANT INSTITUTION NOT IN AGREEMENTS
UMDNJ - ROBERT WOOD JOHNSON MEDICAL SCHOOL,UNIVERSITY OF MEDICINE AND DENTISTRY OF NEW JERSEY,UNIVERSITY OF MEDICINE AND DENTISTRY OF NEW JERSEY
UMPC MAGEE-WOMENS HOSPITAL,MAGEE-WOMENS HEALTH CORPORATION,MAGEE-WOMENS HEALTH CORPORATION
UNION COLLEGE,UNION COLLEGE,UNION COLLEGE
UNIVERSITIES ASSOCIATED FOR RESEARCH AND EDUCATION IN PATHOLOGY,,RELEVANT INSTITUTION NOT IN AGREEMENTS
UNIVERSITY CITY SCIENCE CENTER,UNIVERSITY CITY SCIENCE CENTER,UNIVERSITY CITY SCIENCE CENTER
UNIVERSITY HOSPITALS OF CLEVELAND,UNIVERSITY HOSPITALS OF CLEVELAND,CASE WESTERN RESERVE UNIVERSITY
UNIVERSITY OF AKRON,UNIVERSITY OF AKRON,UNIVERSITY OF AKRON
UNIVERSITY OF ALABAMA AT BIRMINGHAM,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UNIVERSITY OF ALABAMA AT BIRMINGHAM
UNIVERSITY OF ALABAMA AT HUNTSVILLE,UNIVERSITY OF ALABAMA AT HUNTSVILLE,UNIVERSITY OF ALABAMA AT HUNTSVILLE
UNIVERSITY OF ALABAMA AT TUSCALOOSA,UNIVERSITY OF ALABAMA,UNIVERSITY OF ALABAMA
UNIVERSITY OF ALABAMA AT TUSCALOOSA,UNIVERSITY OF ALABAMA AT TUSCALOOSA,UNIVERSITY OF ALABAMA AT TUSCALOOSA
UNIVERSITY OF ALASKA AT ANCHORAGE,UNIVERSITY OF ALASKA AT ANCHORAGE,UNIVERSITY OF ALASKA
UNIVERSITY OF ALASKA AT FAIRBANKS,UNIVERSITY OF ALASKA AT FAIRBANKS,UNIVERSITY OF ALASKA
UNIVERSITY OF ARIZONA,UNIVERSITY OF ARIZONA,UNIVERSITY OF ARIZONA
UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,UNIVERSITY OF ARKANSAS,UNIVERSITY OF ARKANSAS
UNIVERSITY OF ARKANSAS MEDICAL SCIENCES AT LITTLE ROCK,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES
UNIVERSITY OF CALIFORNIA AT BERKELEY,UNIVERSITY OF CALIFORNIA AT BERKELEY,UNIVERSITY OF CALIFORNIA AT BERKELEY
UNIVERSITY OF CALIFORNIA AT DAVIS,UNIVERSITY OF CALIFORNIA AT DAVIS,UNIVERSITY OF CALIFORNIA AT DAVIS
UNIVERSITY OF CALIFORNIA AT IRVINE,UNIVERSITY OF CALIFORNIA AT IRVINE,UNIVERSITY OF CALIFORNIA AT IRVINE
UNIVERSITY OF CALIFORNIA AT LOS ANGELES,UNIVERSITY OF CALIFORNIA AT LOS ANGELES,UNIVERSITY OF CALIFORNIA AT LOS ANGELES
UNIVERSITY OF CALIFORNIA AT RIVERSIDE,UNIVERSITY OF CALIFORNIA AT RIVERSIDE,UNIVERSITY OF CALIFORNIA AT RIVERSIDE
UNIVERSITY OF CALIFORNIA AT SAN DIEGO,UNIVERSITY OF CALIFORNIA AT SAN DIEGO,UNIVERSITY OF CALIFORNIA AT SAN DIEGO
UNIVERSITY OF CALIFORNIA AT SAN FRANCISCO,UNIVERSITY OF CALIFORNIA AT SAN FRANCISCO,UNIVERSITY OF CALIFORNIA AT SAN FRANCISCO
UNIVERSITY OF CALIFORNIA AT SANTA BARBARA,UNIVERSITY OF CALIFORNIA AT SANTA BARBARA,UNIVERSITY OF CALIFORNIA AT SANTA BARBARA
UNIVERSITY OF CALIFORNIA AT SANTA BARBARA,UNIVERSITY OF CALIFORNIA AT SANTA CLARA,UNIVERSITY OF CALIFORNIA AT SANTA CLARA
UNIVERSITY OF CALIFORNIA AT SANTA CRUZ,UNIVERSITY OF CALIFORNIA AT SANTA CRUZ,UNIVERSITY OF CALIFORNIA AT SANTA CRUZ
UNIVERSITY OF CENTRAL FLORIDA,UNIVERSITY OF CENTRAL FLORIDA,UNIVERSITY OF CENTRAL FLORIDA
UNIVERSITY OF CHICAGO,UNIVERSITY OF CHICAGO,UNIVERSITY OF CHICAGO
UNIVERSITY OF CINCINNATI,UNIVERSITY OF CINCINNATI,UNIVERSITY OF CINCINNATI
UNIVERSITY OF COLORADO AT BOULDER,UNIVERSITY OF COLORADO AT BOULDER,UNIVERSITY OF COLORADO AT BOULDER
UNIVERSITY OF COLORADO AT COLORADO SPRINGS,UNIVERSITY OF COLORADO AT COLORADO SPRINGS,UNIVERSITY OF COLORADO AT COLORADO SPRINGS
UNIVERSITY OF COLORADO DENVER HEALTH SCIENCES CENTER,UNIVERSITY OF COLORADO AT DENVER,UNIVERSITY OF COLORADO AT DENVER
UNIVERSITY OF COLORADO DENVER HEALTH SCIENCES CENTER,UNIVERSITY OF COLORADO HEALTH SCIENCES CENTER,UNIVERSITY OF COLORADO HEALTH SCIENCES CENTER
UNIVERSITY OF CONNECTICUT AT STORRS,UNIVERSITY OF CONNECTICUT,UNIVERSITY OF CONNECTICUT
UNIVERSITY OF CONNECTICUT SCHOOL OF MEDICINE AND DENTISTRY,UNIVERSITY OF CONNECTICUT HEALTH CENTER,UNIVERSITY OF CONNECTICUT HEALTH CENTER
UNIVERSITY OF CONNECTICUT SCHOOL OF MEDICINE AND DENTISTRY,UNIVERSITY OF CONNECTICUT SCIENCE HEALTH CENTER,UNIVERSITY OF CONNECTICUT SCIENCE HEALTH CENTER
UNIVERSITY OF DAYTON,UNIVERSITY OF DAYTON,UNIVERSITY OF DAYTON
UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE
UNIVERSITY OF DENVER,UNIVERSITY OF DENVER,UNIVERSITY OF DENVER
UNIVERSITY OF DETROIT MERCY,UNIVERSITY OF DETROIT MERCY,UNIVERSITY OF DETROIT MERCY
UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA
UNIVERSITY OF GEORGIA,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC."
UNIVERSITY OF HARTFORD,UNIVERSITY OF HARTFORD,UNIVERSITY OF HARTFORD
UNIVERSITY OF HAWAII,UNIVERSITY OF HAWAII,UNIVERSITY OF HAWAII
UNIVERSITY OF HOUSTON,UNIVERSITY OF HOUSTON,UNIVERSITY OF HOUSTON
UNIVERSITY OF IDAHO,UNIVERSITY OF IDAHO,UNIVERSITY OF IDAHO
UNIVERSITY OF ILLINOIS AT CHICAGO,THE UNIVERSITY OF ILLINOIS AT CHICAGO,THE UNIVERSITY OF ILLINOIS AT CHICAGO
UNIVERSITY OF ILLINOIS AT CHICAGO,UNIVERSITY OF ILLINOIS AT CHICAGO,UNIVERSITY OF ILLINOIS AT CHICAGO
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,UNIVERSITY OF ILLINOIS AT URBANA CHAMPAIGN,UNIVERSITY OF ILLINOIS AT URBANA CHAMPAIGN
